movieId,title,year,duration,certification,rating,reviews
0118715,The Big Lebowski,1998,1h 57m,UA,8.1,850K
0046438,Tokyo Story,1953,2h 16m,U,8.1,67K
0075148,Rocky,1976,2h,U,8.1,619K
0395169,Hotel Rwanda,2004,2h 1m,UA,8.1,369K
3315342,Logan,2017,2h 17m,A,8.1,816K
1895587,Spotlight,2015,2h 9m,A,8.1,496K
0091763,Platoon,1986,2h,UA,8.1,433K
0019254,La passion de Jeanne d'Arc,1928,1h 50m,Passed,8.1,60K
0088247,The Terminator,1984,1h 47m,A,8.1,912K
15097216,Jai Bhim,2021,2h 44m,A,8.7,214K
0381681,Before Sunset,2004,1h 20m,A,8.1,283K
1979320,Rush,2013,2h 3m,R,8.1,506K
0036868,The Best Years of Our Lives,1946,2h 50m,Approved,8.1,69K
0074958,Network,1976,2h 1m,UA,8.1,168K
0070047,The Exorcist,1973,2h 2m,A,8.1,448K
0113247,La haine,1995,1h 38m,Not Rated,8.1,192K
0092005,Stand by Me,1986,1h 29m,U,8.1,434K
0325980,Pirates of the Caribbean: The Curse of the Black Pearl,2003,2h 23m,UA,8.1,1.2M
0032138,The Wizard of Oz,1939,1h 42m,U,8.1,423K
0317705,The Incredibles,2004,1h 55m,U,8.0,794K
0758758,Into the Wild,2007,2h 28m,U,8.1,650K
0035446,To Be or Not to Be,1942,1h 39m,Passed,8.1,42K
1028532,Hachi: A Dog's Tale,2009,1h 33m,U,8.1,306K
4016934,Ah-ga-ssi,2016,2h 25m,A,8.1,168K
0476735,My Father and My Son,2005,1h 52m,Not Rated,8.2,91K
0032551,The Grapes of Wrath,1940,2h 9m,Passed,8.1,99K
0058946,La battaglia di Algeri,1966,2h 1m,Not Rated,8.1,65K
0107048,Groundhog Day,1993,1h 41m,U,8.0,673K
0059742,The Sound of Music,1965,2h 52m,U,8.1,256K
0245712,Amores perros,2000,2h 34m,A,8.1,251K
0032976,Rebecca,1940,2h 10m,Approved,8.1,145K
0061512,Cool Hand Luke,1967,2h 7m,A,8.1,187K
0129167,The Iron Giant,1999,1h 26m,U,8.1,222K
1454029,The Help,2011,2h 26m,UA,8.1,486K
0025316,It Happened One Night,1934,1h 45m,Passed,8.1,111K
0048473,Pather Panchali,1955,2h 5m,U,8.2,38K
0053198,The 400 Blows,1959,1h 39m,U,8.1,126K
0103639,Aladdin,1992,1h 30m,U,8.0,458K
0099348,Dances with Wolves,1990,3h 1m,U,8.0,286K
